"Código IBGE","Estado","Município","URL","População estimada","População no último censo","Densidade demográfica","Salário médio mensal dos trabalhadores formais","Pessoal ocupado","População ocupada","Percentual da população com rendimento nominal mensal per capita de até 1/2 salário mínimo","Taxa de escolarização de 6 a 14 anos de idade","IDEB – Anos iniciais do ensino fundamental (Rede pública)","IDEB – Anos finais do ensino fundamental (Rede pública)","Matrículas no ensino fundamental","Matrículas no ensino médio","Docentes no ensino fundamental","Docentes no ensino médio","Número de estabelecimentos de ensino fundamental","Número de estabelecimentos de ensino médio","PIB per capita","Percentual das receitas oriundas de fontes externas","Índice de Desenvolvimento Humano Municipal (IDHM)","Total de receitas realizadas","Total de despesas empenhadas","Mortalidade Infantil","Internações por diarreia","Estabelecimentos de Saúde SUS","Área da unidade territorial","Esgotamento sanitário adequado","Arborização de vias públicas","Urbanização de vias públicas","Bioma","Sistema Costeiro-Marinho","Hierarquia urbana","Região de Influência","Região intermediária","Região imediata","Mesorregião","Microrregião"
"2304202","CE","Crato","https://cidades.ibge.gov.br/brasil/ce/crato/panorama","133.913 pessoas","121.428 pessoas","103,21 hab/km²","1,9 salários mínimos","19.976 pessoas","15,1 %","43 %","97,8 %","5,5","5,0","17.849 matrículas","5.508 matrículas","935 docentes","393 docentes","81 escolas","19 escolas","10.262,41 R$","82,4 %","0,713","263.007,66 R$ (×1000)","226.354,59 R$ (×1000)","18,08 óbitos por mil nascidos vivos","0,8 internações por mil habitantes","54 estabelecimentos","1.138,150 km²","42,2 %","58,3 %","3,5 %","Caatinga","Não pertence","Capital Regional B (2B) - Município integrante do Arranjo Populacional de Juazeiro do Norte/CE","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Juazeiro do Norte","Juazeiro do Norte","Sul Cearense","Cariri"
"2306405","CE","Itapipoca","https://cidades.ibge.gov.br/brasil/ce/itapipoca/panorama","131.687 pessoas","116.065 pessoas","71,90 hab/km²","1,5 salários mínimos","13.386 pessoas","10,3 %","53 %","97,9 %","6,2","5,3","19.380 matrículas","6.330 matrículas","1.025 docentes","298 docentes","99 escolas","12 escolas","12.863,49 R$","85,4 %","0,640","268.626,66 R$ (×1000)","239.926,55 R$ (×1000)","9,52 óbitos por mil nascidos vivos","1 internações por mil habitantes","42 estabelecimentos","1.600,358 km²","32,9 %","85,5 %","5,3 %","Caatinga","Pertence","Centro Subregional B (3B)","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Fortaleza","Itapipoca","Norte Cearense","Itapipoca"
"2303907","CE","Chaval","https://cidades.ibge.gov.br/brasil/ce/chaval/panorama","13.112 pessoas","12.615 pessoas","52,95 hab/km²","0,8 salários mínimos","1.867 pessoas","14,3 %","58,6 %","97,4 %","6,3","5,0","1.869 matrículas","499 matrículas","121 docentes","19 docentes","13 escolas","1 escolas","6.202,22 R$","96,8 %","0,586","28.808,15 R$ (×1000)","30.309,63 R$ (×1000)","4,93 óbitos por mil nascidos vivos","0,5 internações por mil habitantes","6 estabelecimentos","237,248 km²","7,2 %","60,4 %","3 %","Caatinga","Pertence","Centro Local (5)","Parnaíba - Centro Subregional A (3A)","Sobral","Camocim","Noroeste Cearense","Litoral de Camocim e Acaraú"
"2303600","CE","Catarina","https://cidades.ibge.gov.br/brasil/ce/catarina/panorama","21.041 pessoas","18.745 pessoas","38,50 hab/km²","1,7 salários mínimos","947 pessoas","4,6 %","57,8 %","94,3 %","6,0","4,9","1.354 matrículas","378 matrículas","77 docentes","22 docentes","14 escolas","1 escolas","5.797,02 R$","94,5 %","0,618","48.412,86 R$ (×1000)","40.082,54 R$ (×1000)","32,97 óbitos por mil nascidos vivos","0 internações por mil habitantes","10 estabelecimentos","488,153 km²","17,1 %","93,7 %","7,6 %","Caatinga","Não pertence","Centro Local (5)","Iguatu - Centro Subregional A (3A)","Iguatu","Iguatu","Sertões Cearenses","Sertão de Inhamuns"
"2307106","CE","Jardim","https://cidades.ibge.gov.br/brasil/ce/jardim/panorama","27.187 pessoas","26.688 pessoas","48,31 hab/km²","1,9 salários mínimos","1.807 pessoas","6,6 %","54,4 %","98,4 %","5,7","4,9","4.294 matrículas","1.212 matrículas","219 docentes","55 docentes","19 escolas","2 escolas","7.529,39 R$","87,1 %","0,614","58.468,87 R$ (×1000)","52.203,51 R$ (×1000)","4,82 óbitos por mil nascidos vivos","3,8 internações por mil habitantes","18 estabelecimentos","544,980 km²","36,5 %","74,1 %","9,1 %","Caatinga","Não pertence","Centro Local (5)","Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B)","Juazeiro do Norte","Juazeiro do Norte","Sul Cearense","Cariri"
"2300309","CE","Acopiara","https://cidades.ibge.gov.br/brasil/ce/acopiara/panorama","54.687 pessoas","51.160 pessoas","22,58 hab/km²","1,6 salários mínimos","3.029 pessoas","5,6 %","54,4 %","97,2 %","6,0","5,5","5.788 matrículas","1.883 matrículas","354 docentes","114 docentes","42 escolas","6 escolas","7.038,21 R$","86,4 %","0,595","153.148,71 R$ (×1000)","125.356,17 R$ (×1000)","6,63 óbitos por mil nascidos vivos","1,9 internações por mil habitantes","21 estabelecimentos","2.254,279 km²","18,1 %","90,6 %","5,3 %","Caatinga","Não pertence","Centro de Zona B (4B)","Iguatu - Centro Subregional A (3A)","Iguatu","Iguatu","Sertões Cearenses","Sertão de Senador Pompeu"
"2301802","CE","Baixio","https://cidades.ibge.gov.br/brasil/ce/baixio/panorama","6.318 pessoas","6.026 pessoas","41,15 hab/km²","1,4 salários mínimos","721 pessoas","11,5 %","52 %","97,9 %","4,8","4,4","779 matrículas","271 matrículas","57 docentes","14 docentes","5 escolas","1 escolas","9.141,29 R$","95,5 %","0,627","23.630,69 R$ (×1000)","21.367,09 R$ (×1000)","14,93 óbitos por mil nascidos vivos","0,2 internações por mil habitantes","2 estabelecimentos","145,556 km²","1,5 %","98,6 %","11,5 %","Caatinga","Não pertence","Centro Local (5)","Cajazeiras - Centro Subregional A (3A)","Iguatu","Icó","Centro-Sul Cearense","Lavras da Mangabeira"
"2308500","CE","Mombaça","https://cidades.ibge.gov.br/brasil/ce/mombaca/panorama","43.917 pessoas","42.690 pessoas","20,14 hab/km²","1,5 salários mínimos","3.076 pessoas","7,0 %","54 %","96,4 %","6,8","5,5","4.936 matrículas","1.676 matrículas","245 docentes","77 docentes","33 escolas","4 escolas","7.369,18 R$","94,7 %","0,582","82.316,49 R$ (×1000)","75.706,99 R$ (×1000)","1,96 óbitos por mil nascidos vivos","1,2 internações por mil habitantes","13 estabelecimentos","2.115,748 km²","27,1 %","71,5 %","9,2 %","Caatinga","Não pertence","Centro de Zona B (4B)","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Iguatu","Iguatu","Sertões Cearenses","Sertão de Senador Pompeu"
"2311306","CE","Quixadá","https://cidades.ibge.gov.br/brasil/ce/quixada/panorama","88.899 pessoas","80.604 pessoas","39,91 hab/km²","1,9 salários mínimos","8.523 pessoas","9,7 %","49,2 %","95,8 %","5,5","4,7","11.150 matrículas","3.457 matrículas","510 docentes","215 docentes","57 escolas","9 escolas","11.927,82 R$","86,8 %","0,659","176.579,50 R$ (×1000)","166.205,08 R$ (×1000)","16 óbitos por mil nascidos vivos","1,8 internações por mil habitantes","32 estabelecimentos","2.020,586 km²","52,7 %","84,8 %","10,3 %","Caatinga","Não pertence","Centro Subregional B (3B)","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Quixadá","Quixadá","Sertões Cearenses","Sertão de Quixeramobim"
"2304459","CE","Fortim","https://cidades.ibge.gov.br/brasil/ce/fortim/panorama","16.776 pessoas","14.817 pessoas","53,15 hab/km²","2,0 salários mínimos","1.545 pessoas","9,4 %","52,8 %","97,5 %","6,7","5,7","1.932 matrículas","592 matrículas","113 docentes","20 docentes","10 escolas","1 escolas","9.806,29 R$","56,8 %","0,624","46.215,47 R$ (×1000)","41.449,76 R$ (×1000)","10,15 óbitos por mil nascidos vivos","0,1 internações por mil habitantes","11 estabelecimentos","285,024 km²","2,1 %","75,1 %","0,8 %","Caatinga","Pertence","Centro Local (5)","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Quixadá","Aracati","Jaguaribe","Litoral de Aracati"
"2310605","CE","Penaforte","https://cidades.ibge.gov.br/brasil/ce/penaforte/panorama","9.207 pessoas","8.226 pessoas","57,96 hab/km²","1,6 salários mínimos","849 pessoas","9,4 %","50,1 %","96,7 %","6,4","4,8","1.370 matrículas","409 matrículas","93 docentes","22 docentes","8 escolas","1 escolas","23.504,33 R$","- %","0,646","31.652,89 R$ (×1000)","27.208,09 R$ (×1000)","23,92 óbitos por mil nascidos vivos","3,3 internações por mil habitantes","11 estabelecimentos","150,536 km²","55 %","95 %","1,3 %","Caatinga","Não pertence","Centro Local (5)","Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B)","Juazeiro do Norte","Brejo Santo","Sul Cearense","Brejo Santo"
"2309508","CE","Orós","https://cidades.ibge.gov.br/brasil/ce/oros/panorama","21.342 pessoas","21.389 pessoas","37,12 hab/km²","2,0 salários mínimos","1.055 pessoas","4,9 %","51,1 %","97,4 %","6,1","4,6","2.613 matrículas","622 matrículas","111 docentes","26 docentes","11 escolas","1 escolas","8.000,89 R$","92,7 %","0,636","49.148,47 R$ (×1000)","46.212,78 R$ (×1000)","14,87 óbitos por mil nascidos vivos","3,8 internações por mil habitantes","14 estabelecimentos","577,526 km²","37,5 %","94,2 %","5,3 %","Caatinga","Não pertence","Centro Local (5)","Icó - Centro de Zona A (4A)","Iguatu","Icó","Centro-Sul Cearense","Iguatu"
"2312908","CE","Sobral","https://cidades.ibge.gov.br/brasil/ce/sobral/panorama","212.437 pessoas","188.233 pessoas","88,67 hab/km²","2,0 salários mínimos","47.782 pessoas","22,9 %","44,2 %","97,9 %","8,4","6,9","26.829 matrículas","8.965 matrículas","1.105 docentes","479 docentes","69 escolas","27 escolas","23.104,70 R$","82,9 %","0,714","620.503,26 R$ (×1000)","574.656,94 R$ (×1000)","6,44 óbitos por mil nascidos vivos","1,3 internações por mil habitantes","69 estabelecimentos","2.068,474 km²","75,6 %","92,2 %","11,9 %","Caatinga","Não pertence","Capital Regional C (2C) - Município integrante do Arranjo Populacional de Sobral/CE","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Sobral","Sobral","Noroeste Cearense","Sobral"
"2310852","CE","Pindoretama","https://cidades.ibge.gov.br/brasil/ce/pindoretama/panorama"," pessoas"," pessoas"," hab/km²"," salários mínimos"," pessoas"," %"," %"," %","",""," matrículas"," matrículas"," docentes"," docentes"," escolas"," escolas"," R$"," %",""," R$ (×1000)"," R$ (×1000)"," óbitos por mil nascidos vivos"," internações por mil habitantes"," estabelecimentos"," km²"," %"," %"," %","","","","","","","",""
"2302107","CE","Baturité","https://cidades.ibge.gov.br/brasil/ce/baturite/panorama"," pessoas"," pessoas"," hab/km²"," salários mínimos"," pessoas"," %"," %"," %","",""," matrículas"," matrículas"," docentes"," docentes"," escolas"," escolas"," R$"," %",""," R$ (×1000)"," R$ (×1000)"," óbitos por mil nascidos vivos"," internações por mil habitantes"," estabelecimentos"," km²"," %"," %"," %","","","","","","","",""
"2302800","CE","Canindé","https://cidades.ibge.gov.br/brasil/ce/caninde/panorama","77.484 pessoas","74.473 pessoas","23,14 hab/km²","1,8 salários mínimos","7.867 pessoas","10,2 %","54 %","97,5 %","6,4","5,7","10.600 matrículas","2.961 matrículas","412 docentes","185 docentes","69 escolas","6 escolas","8.106,88 R$","85,1 %","0,612","208.998,69 R$ (×1000)","198.932,37 R$ (×1000)","11,47 óbitos por mil nascidos vivos","2 internações por mil habitantes","41 estabelecimentos","3.032,390 km²","23,2 %","97,3 %","6,1 %","Caatinga","Não pertence","Centro de Zona B (4B)","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Fortaleza","Canindé","Norte Cearense","Canindé"
"2310258","CE","Paraipaba","https://cidades.ibge.gov.br/brasil/ce/paraipaba/panorama","33.232 pessoas","30.041 pessoas","99,83 hab/km²","1,7 salários mínimos","4.135 pessoas","12,6 %","51,4 %","97,8 %","6,1","4,8","4.582 matrículas","1.445 matrículas","193 docentes","66 docentes","25 escolas","3 escolas","11.941,70 R$","87,8 %","0,634","8.947,83 R$ (×1000)","65.060,17 R$ (×1000)","2,44 óbitos por mil nascidos vivos","0,2 internações por mil habitantes","13 estabelecimentos","289,231 km²","28 %","79,9 %","5,3 %","Caatinga","Pertence","Centro Local (5)","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Fortaleza","Fortaleza","Norte Cearense","Baixo Curu"
"2301307","CE","Araripe","https://cidades.ibge.gov.br/brasil/ce/araripe/panorama","21.707 pessoas","20.685 pessoas","18,81 hab/km²","1,8 salários mínimos","1.300 pessoas","6,0 %","58,3 %","96,3 %","5,9","5,6","3.530 matrículas","957 matrículas","162 docentes","55 docentes","16 escolas","2 escolas","6.724,70 R$","84,9 %","0,564","69.217,32 R$ (×1000)","59.671,85 R$ (×1000)","10,93 óbitos por mil nascidos vivos","1,5 internações por mil habitantes","14 estabelecimentos","1.097,339 km²","14,3 %","80,8 %","5,8 %","Caatinga","Não pertence","Centro Local (5)","Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B)","Juazeiro do Norte","Juazeiro do Norte","Sul Cearense","Chapada do Araripe"
"2303303","CE","Cariús","https://cidades.ibge.gov.br/brasil/ce/carius/panorama","18.700 pessoas","18.567 pessoas","17,49 hab/km²","1,5 salários mínimos","971 pessoas","5,2 %","55,5 %","97,1 %","5,5","5,0","1.985 matrículas","458 matrículas","113 docentes","21 docentes","8 escolas","1 escolas","7.267,16 R$","94,7 %","0,597","43.117,01 R$ (×1000)","38.533,90 R$ (×1000)","9,85 óbitos por mil nascidos vivos","2,1 internações por mil habitantes","12 estabelecimentos","1.036,417 km²","12,2 %","92,9 %","3,2 %","Caatinga","Não pertence","Centro Local (5) - Município integrante do Arranjo Populacional de Jucás - Cariús/CE","Iguatu - Centro Subregional A (3A)","Iguatu","Iguatu","Centro-Sul Cearense","Várzea Alegre"
"2311207","CE","Potengi","https://cidades.ibge.gov.br/brasil/ce/potengi/panorama","11.165 pessoas","10.276 pessoas","30,34 hab/km²","1,6 salários mínimos","723 pessoas","6,5 %","53,7 %","92,7 %","5,1","5,0","1.465 matrículas","374 matrículas","78 docentes","18 docentes","8 escolas","1 escolas","7.955,50 R$","95,5 %","0,562","31.761,26 R$ (×1000)","28.826,42 R$ (×1000)","14,29 óbitos por mil nascidos vivos","0,1 internações por mil habitantes","8 estabelecimentos","343,264 km²","7,8 %","96,3 %","0,2 %","Caatinga","Não pertence","Centro Local (5)","Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B)","Juazeiro do Norte","Juazeiro do Norte","Sul Cearense","Chapada do Araripe"
"2303105","CE","Cariré","https://cidades.ibge.gov.br/brasil/ce/carire/panorama","18.470 pessoas","18.347 pessoas","24,24 hab/km²","1,4 salários mínimos","1.586 pessoas","8,6 %","56 %","97,9 %","6,8","5,8","2.098 matrículas","857 matrículas","178 docentes","50 docentes","19 escolas","2 escolas","8.062,68 R$","79,5 %","0,596","51.159,84 R$ (×1000)","45.628,32 R$ (×1000)","4,1 óbitos por mil nascidos vivos","0,6 internações por mil habitantes","14 estabelecimentos","755,597 km²","6,3 %","88,8 %","0,5 %","Caatinga","Não pertence","Centro Local (5)","Arranjo Populacional de Sobral/CE - Capital Regional C (2C)","Sobral","Sobral","Noroeste Cearense","Sobral"
"2308377","CE","Miraíma","https://cidades.ibge.gov.br/brasil/ce/miraima/panorama","13.965 pessoas","12.800 pessoas","18,29 hab/km²","1,5 salários mínimos","1.000 pessoas","7,2 %","59,3 %","98,6 %","5,5","4,5","1.925 matrículas","676 matrículas","164 docentes","37 docentes","10 escolas","2 escolas","6.253,17 R$","94,5 %","0,592","31.540,71 R$ (×1000)","31.469,48 R$ (×1000)","14,42 óbitos por mil nascidos vivos","1 internações por mil habitantes","8 estabelecimentos","708,678 km²","19,8 %","96,2 %","4,2 %","Caatinga","Não pertence","Centro Local (5)","Itapipoca - Centro Subregional B (3B)","Fortaleza","Itapipoca","Noroeste Cearense","Sobral"
"2304608","CE","General Sampaio","https://cidades.ibge.gov.br/brasil/ce/general-sampaio/panorama","7.767 pessoas","6.218 pessoas","30,21 hab/km²","1,6 salários mínimos","609 pessoas","8,0 %","52,4 %","96,2 %","5,7","5,1","1.208 matrículas","340 matrículas","70 docentes","17 docentes","7 escolas","1 escolas","8.336,85 R$","89,1 %","0,568","24.583,98 R$ (×1000)","25.385,04 R$ (×1000)","9,17 óbitos por mil nascidos vivos","- internações por mil habitantes","9 estabelecimentos","230,371 km²","3,7 %","97,4 %","3 %","Caatinga","Não pertence","Centro Local (5)","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Fortaleza","Itapagé","Norte Cearense","Médio Curu"
"2309458","CE","Ocara","https://cidades.ibge.gov.br/brasil/ce/ocara/panorama"," pessoas"," pessoas"," hab/km²"," salários mínimos"," pessoas"," %"," %"," %","",""," matrículas"," matrículas"," docentes"," docentes"," escolas"," escolas"," R$"," %",""," R$ (×1000)"," R$ (×1000)"," óbitos por mil nascidos vivos"," internações por mil habitantes"," estabelecimentos"," km²"," %"," %"," %","","","","","","","",""
"2307403","CE","Jucás","https://cidades.ibge.gov.br/brasil/ce/jucas/panorama","24.949 pessoas","23.807 pessoas","25,40 hab/km²","2,0 salários mínimos","1.700 pessoas","6,8 %","53,6 %","97,5 %","6,4","5,5","3.219 matrículas","995 matrículas","193 docentes","61 docentes","17 escolas","3 escolas","9.024,13 R$","90,1 %","0,598","55.718,34 R$ (×1000)","53.527,80 R$ (×1000)","19,74 óbitos por mil nascidos vivos","0,7 internações por mil habitantes","9 estabelecimentos","940,336 km²","26,1 %","95,1 %","4 %","Caatinga","Não pertence","Centro Local (5) - Município integrante do Arranjo Populacional de Jucás - Cariús/CE","Iguatu - Centro Subregional A (3A)","Iguatu","Iguatu","Centro-Sul Cearense","Várzea Alegre"
"2313302","CE","Tauá","https://cidades.ibge.gov.br/brasil/ce/taua/panorama","59.259 pessoas","55.716 pessoas","13,87 hab/km²","1,6 salários mínimos","5.629 pessoas","9,6 %","53,1 %","97,7 %","6,1","5,2","6.788 matrículas","2.375 matrículas","316 docentes","155 docentes","36 escolas","7 escolas","10.253,80 R$","86,7 %","0,633","136.028,14 R$ (×1000)","135.713,30 R$ (×1000)","12,94 óbitos por mil nascidos vivos","4,8 internações por mil habitantes","36 estabelecimentos","4.010,618 km²","32,3 %","90,8 %","11,6 %","Caatinga","Não pertence","Centro de Zona B (4B)","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Crateús","Tauá","Sertões Cearenses","Sertão de Inhamuns"
"2304251","CE","Cruz","https://cidades.ibge.gov.br/brasil/ce/cruz/panorama","25.121 pessoas","22.479 pessoas","68,13 hab/km²","1,7 salários mínimos","2.109 pessoas","8,5 %","54,9 %","98,5 %","8,3","6,9","4.164 matrículas","1.114 matrículas","264 docentes","51 docentes","26 escolas","3 escolas","8.946,00 R$","89,6 %","0,632","66.832,46 R$ (×1000)","53.862,87 R$ (×1000)","4,02 óbitos por mil nascidos vivos","0,6 internações por mil habitantes","12 estabelecimentos","335,921 km²","6,3 %","95,3 %","3,1 %","Caatinga","Pertence","Centro Local (5)","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Sobral","Acaraú","Noroeste Cearense","Litoral de Camocim e Acaraú"
"2302503","CE","Brejo Santo","https://cidades.ibge.gov.br/brasil/ce/brejo-santo/panorama","50.195 pessoas","45.193 pessoas","68,12 hab/km²","1,7 salários mínimos","7.137 pessoas","14,4 %","49,6 %","92,5 %","6,1","5,8","6.344 matrículas","2.267 matrículas","354 docentes","113 docentes","33 escolas","5 escolas","10.248,61 R$","78,1 %","0,647","170.601,24 R$ (×1000)","147.722,77 R$ (×1000)","15,04 óbitos por mil nascidos vivos","15,1 internações por mil habitantes","38 estabelecimentos","654,658 km²","59,7 %","86,9 %","6,7 %","Caatinga","Não pertence","Centro de Zona A (4A)","Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B)","Juazeiro do Norte","Brejo Santo","Sul Cearense","Brejo Santo"
"2310407","CE","Paramoti","https://cidades.ibge.gov.br/brasil/ce/paramoti/panorama","12.276 pessoas","11.308 pessoas","23,43 hab/km²","1,7 salários mínimos","741 pessoas","6,1 %","56,1 %","98,7 %","4,7","5,0","1.511 matrículas","337 matrículas","108 docentes","25 docentes","13 escolas","1 escolas","7.997,84 R$","91,2 %","0,583","46.031,13 R$ (×1000)","38.441,85 R$ (×1000)","9,17 óbitos por mil nascidos vivos","0,5 internações por mil habitantes","13 estabelecimentos","539,238 km²","9,8 %","99,7 %","6,6 %","Caatinga","Não pertence","Centro Local (5)","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Fortaleza","Canindé","Norte Cearense","Canindé"
"2309300","CE","Nova Russas","https://cidades.ibge.gov.br/brasil/ce/nova-russas/panorama","32.487 pessoas","30.965 pessoas","41,69 hab/km²","1,6 salários mínimos","2.568 pessoas","7,9 %","51,2 %","98 %","7,6","5,1","3.971 matrículas","1.410 matrículas","287 docentes","86 docentes","22 escolas","4 escolas","8.305,82 R$","89,1 %","0,614","61.813,48 R$ (×1000)","57.297,45 R$ (×1000)","5,43 óbitos por mil nascidos vivos","2,3 internações por mil habitantes","16 estabelecimentos","736,911 km²","20,5 %","94,7 %","5 %","Caatinga","Não pertence","Centro Local (5)","Crateús - Centro Subregional B (3B)","Crateús","Crateús","Sertões Cearenses","Sertão de Cratéus"
"2304707","CE","Granja","https://cidades.ibge.gov.br/brasil/ce/granja/panorama","55.170 pessoas","52.645 pessoas","19,52 hab/km²","1,6 salários mínimos","2.796 pessoas","5,1 %","60,6 %","94,7 %","7,0","5,0","7.987 matrículas","2.548 matrículas","649 docentes","161 docentes","52 escolas","6 escolas","6.692,40 R$","90 %","0,559","107.204,80 R$ (×1000)","106.091,79 R$ (×1000)","9,85 óbitos por mil nascidos vivos","1,4 internações por mil habitantes","13 estabelecimentos","2.663,174 km²","12,3 %","84,5 %","1,8 %","Caatinga","Pertence","Centro Local (5)","Arranjo Populacional de Sobral/CE - Capital Regional C (2C)","Sobral","Camocim","Noroeste Cearense","Litoral de Camocim e Acaraú"
"2304301","CE","Farias Brito","https://cidades.ibge.gov.br/brasil/ce/farias-brito/panorama","19.330 pessoas","19.007 pessoas","37,74 hab/km²","1,7 salários mínimos","1.377 pessoas","7,1 %","55,6 %","99,3 %","6,4","5,1","2.637 matrículas","771 matrículas","182 docentes","42 docentes","14 escolas","2 escolas","8.195,13 R$","92,7 %","0,633","51.471,40 R$ (×1000)","44.726,55 R$ (×1000)","11,24 óbitos por mil nascidos vivos","0,5 internações por mil habitantes","15 estabelecimentos","530,540 km²","12,1 %","88,4 %","2,1 %","Caatinga","Não pertence","Centro Local (5)","Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B)","Juazeiro do Norte","Juazeiro do Norte","Sul Cearense","Caririaçu"
"2306306","CE","Itapagé","https://cidades.ibge.gov.br/brasil/ce/itapage/panorama","213.317.639 pessoas","190.755.799 pessoas","1,76 hab/km²"," salários mínimos"," pessoas"," %"," %","42,9 % %","82,7 %","94,0 %","96,3 % matrículas","37,9 % matrículas"," docentes"," docentes"," escolas"," escolas","1,94 R$","8,99 %","1,2","6,3 R$ (×1000)","21,1 R$ (×1000)"," óbitos por mil nascidos vivos"," internações por mil habitantes"," estabelecimentos"," km²"," %"," %"," %","","","","","","","-6,2","-8,3"
"2311959","CE","Salitre","https://cidades.ibge.gov.br/brasil/ce/salitre/panorama","16.714 pessoas","15.453 pessoas","19,21 hab/km²","1,1 salários mínimos","1.661 pessoas","10,0 %","56,5 %","97,3 %","7,7","6,0","2.892 matrículas","692 matrículas","253 docentes","27 docentes","21 escolas","1 escolas","6.602,19 R$","96,1 %","0,540","42.585,35 R$ (×1000)","41.896,70 R$ (×1000)","22,64 óbitos por mil nascidos vivos","0,9 internações por mil habitantes","11 estabelecimentos","806,253 km²","11 %","84,7 %","3 %","Caatinga","Não pertence","Centro Local (5)","Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B)","Juazeiro do Norte","Juazeiro do Norte","Sul Cearense","Chapada do Araripe"
"2302701","CE","Campos Sales","https://cidades.ibge.gov.br/brasil/ce/campos-sales/panorama","27.513 pessoas","26.506 pessoas","24,48 hab/km²","1,4 salários mínimos","2.145 pessoas","7,8 %","52,8 %","98,3 %","6,6","5,8","3.565 matrículas","1.243 matrículas","228 docentes","65 docentes","21 escolas","2 escolas","6.896,85 R$","94,9 %","0,630","72.422,31 R$ (×1000)","64.018,71 R$ (×1000)","19,05 óbitos por mil nascidos vivos","3,5 internações por mil habitantes","19 estabelecimentos","1.082,582 km²","22,8 %","91,8 %","2,1 %","Caatinga","Não pertence","Centro Local (5)","Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B)","Juazeiro do Norte","Juazeiro do Norte","Sul Cearense","Chapada do Araripe"
"2307601","CE","Limoeiro do Norte","https://cidades.ibge.gov.br/brasil/ce/limoeiro-do-norte/panorama","60.232 pessoas","56.264 pessoas","74,91 hab/km²","1,7 salários mínimos","8.167 pessoas","13,7 %","43,8 %","98 %","6,4","5,6","7.228 matrículas","2.051 matrículas","315 docentes","127 docentes","26 escolas","6 escolas","15.961,09 R$","82,5 %","0,682","115.645,25 R$ (×1000)","106.746,35 R$ (×1000)","16,44 óbitos por mil nascidos vivos","4,7 internações por mil habitantes","48 estabelecimentos","744,525 km²","20,9 %","96,4 %","2 %","Caatinga","Não pertence","Centro Subregional B (3B)","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Quixadá","Russas - Limoeiro do Norte","Jaguaribe","Baixo Jaguaribe"
"2304269","CE","Deputado Irapuan Pinheiro","https://cidades.ibge.gov.br/brasil/ce/deputado-irapuan-pinheiro/panorama","9.698 pessoas","9.095 pessoas","19,33 hab/km²","1,7 salários mínimos","1.042 pessoas","10,8 %","55,9 %","99,3 %","8,3","5,4","1.022 matrículas","303 matrículas","70 docentes","16 docentes","5 escolas","1 escolas","6.413,75 R$","92,7 %","0,609","28.587,71 R$ (×1000)","24.445,95 R$ (×1000)","11,49 óbitos por mil nascidos vivos","1,3 internações por mil habitantes","8 estabelecimentos","471,134 km²","2,1 %","95,5 %","0,7 %","Caatinga","Não pertence","Centro Local (5)","Acopiara - Centro de Zona B (4B)","Quixadá","Quixadá","Sertões Cearenses","Sertão de Senador Pompeu"
"2311405","CE","Quixeramobim","https://cidades.ibge.gov.br/brasil/ce/quixeramobim/panorama","82.455 pessoas","71.887 pessoas","21,95 hab/km²","1,6 salários mínimos","12.351 pessoas","15,2 %","49,1 %","96,7 %","8,0","6,4","10.033 matrículas","3.291 matrículas","502 docentes","198 docentes","77 escolas","10 escolas","13.420,15 R$","85,6 %","0,642","177.264,12 R$ (×1000)","180.081,10 R$ (×1000)","13,81 óbitos por mil nascidos vivos","5 internações por mil habitantes","35 estabelecimentos","3.324,987 km²","43,2 %","84,1 %","5,4 %","Caatinga","Não pertence","Centro de Zona A (4A)","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Quixadá","Quixadá","Sertões Cearenses","Sertão de Quixeramobim"
