"Código IBGE","Estado","Município","URL","Gentílico","População estimada","População no último censo","Densidade demográfica","Salário médio mensal dos trabalhadores formais","Pessoal ocupado","População ocupada","Percentual da população com rendimento nominal mensal per capita de até 1/2 salário mínimo","Taxa de escolarização de 6 a 14 anos de idade","IDEB – Anos iniciais do ensino fundamental (Rede pública)","IDEB – Anos finais do ensino fundamental (Rede pública)","Matrículas no ensino fundamental","Matrículas no ensino médio","Docentes no ensino fundamental","Docentes no ensino médio","Número de estabelecimentos de ensino fundamental","Número de estabelecimentos de ensino médio","PIB per capita","Percentual das receitas oriundas de fontes externas","Índice de Desenvolvimento Humano Municipal (IDHM)","Total de receitas realizadas","Total de despesas empenhadas","Mortalidade Infantil","Internações por diarreia","Estabelecimentos de Saúde SUS","Área da unidade territorial","Esgotamento sanitário adequado","Arborização de vias públicas","Urbanização de vias públicas","Bioma","Sistema Costeiro-Marinho","Hierarquia urbana","Região de Influência","Região intermediária","Região imediata","Mesorregião","Microrregião"
"2303659","PR","catunda","https://cidades.ibge.gov.br/brasil/ce/catunda","catundense","10.410 pessoas","9.952 pessoas","12,59 hab/km² hab/km²","2,2 salários mínimos","699 pessoas","6,8 %","56,2 %","98,7 %","8,2","6,9","1.287 matrículas","355 matrículas","94 docentes","18 docentes","12 escolas","1 escolas","7.723,10 R$","94,2 %","0,609","30.300,19 R$ (×1000)","29.143,06 R$ (×1000)","9,01 óbitos por mil nascidos vivos","1,2 internações por mil habitantes","7 estabelecimentos","784,022 km²","1,6 %","75,9 %","1,4 %","Caatinga","Não pertence","Centro Local (5)","Santa Quitéria - Centro de Zona B (4B)","Sobral","Sobral","Noroeste Cearense","Santa Quitéria"
"2300705","PR","alto-santo","https://cidades.ibge.gov.br/brasil/ce/alto-santo","alto-santense","16.077 pessoas","16.359 pessoas","12,22 hab/km² hab/km²","1,4 salários mínimos","1.564 pessoas","9,1 %","51,5 %","96,5 %","6,0","5,8","1.781 matrículas","481 matrículas","96 docentes","25 docentes","11 escolas","1 escolas","8.908,98 R$","93 %","0,601","40.704,75 R$ (×1000)","35.934,27 R$ (×1000)","5,62 óbitos por mil nascidos vivos","1,4 internações por mil habitantes","12 estabelecimentos","1.345,701 km²","12,9 %","83,6 %","0 %","Caatinga","Não pertence","Centro Local (5)","Limoeiro do Norte - Centro Subregional B (3B)","Quixadá","Russas - Limoeiro do Norte","Jaguaribe","Baixo Jaguaribe"
"2301703","PR","aurora","https://cidades.ibge.gov.br/brasil/ce/aurora","aurorense","24.567 pessoas","24.566 pessoas","27,73 hab/km² hab/km²","1,6 salários mínimos","1.510 pessoas","6,1 %","55,5 %","97,9 %","5,0","4,7","2.937 matrículas","835 matrículas","130 docentes","56 docentes","17 escolas","2 escolas","7.511,26 R$","91,8 %","0,605","52.517,28 R$ (×1000)","46.765,07 R$ (×1000)","3,12 óbitos por mil nascidos vivos","24,4 internações por mil habitantes","19 estabelecimentos","885,870 km²","12,2 %","93 %","14,4 %","Caatinga","Não pertence","Centro Local (5)","Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B)","Juazeiro do Norte","Juazeiro do Norte","Sul Cearense","Barro"
"2303105","PR","carire","https://cidades.ibge.gov.br/brasil/ce/carire","carireense","18.470 pessoas","18.347 pessoas","24,24 hab/km² hab/km²","1,4 salários mínimos","1.586 pessoas","8,6 %","56 %","97,9 %","6,8","5,8","2.098 matrículas","857 matrículas","178 docentes","50 docentes","19 escolas","2 escolas","8.062,68 R$","79,5 %","0,596","51.159,84 R$ (×1000)","45.628,32 R$ (×1000)","4,1 óbitos por mil nascidos vivos","0,6 internações por mil habitantes","14 estabelecimentos","755,597 km²","6,3 %","88,8 %","0,5 %","Caatinga","Não pertence","Centro Local (5)","Arranjo Populacional de Sobral/CE - Capital Regional C (2C)","Sobral","Sobral","Noroeste Cearense","Sobral"
"2304004","PR","coreau","https://cidades.ibge.gov.br/brasil/ce/coreau","coreauense","23.340 pessoas","21.954 pessoas","28,30 hab/km² hab/km²","1,5 salários mínimos","1.497 pessoas","6,5 %","56,9 %","97,5 %","6,6","5,7","2.837 matrículas","918 matrículas","198 docentes","53 docentes","14 escolas","2 escolas","6.233,80 R$","95,2 %","0,610","51.937,12 R$ (×1000)","47.475,59 R$ (×1000)","9,9 óbitos por mil nascidos vivos","0,5 internações por mil habitantes","12 estabelecimentos","750,332 km²","16,9 %","90,1 %","2,6 %","Caatinga","Não pertence","Centro Local (5)","Arranjo Populacional de Sobral/CE - Capital Regional C (2C)","Sobral","Sobral","Noroeste Cearense","Coreaú"
"2301604","PR","assare","https://cidades.ibge.gov.br/brasil/ce/assare","assareense","23.537 pessoas","22.445 pessoas","20,11 hab/km² hab/km²","1,5 salários mínimos","1.737 pessoas","7,4 %","54,4 %","96,6 %","6,3","4,7","2.751 matrículas","1.147 matrículas","170 docentes","69 docentes","10 escolas","3 escolas","6.947,09 R$","95,4 %","0,600","52.234,57 R$ (×1000)","42.903,25 R$ (×1000)","3,36 óbitos por mil nascidos vivos","1 internações por mil habitantes","10 estabelecimentos","1.155,124 km²","20,4 %","91,8 %","5,7 %","Caatinga","Não pertence","Centro Local (5)","Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B)","Juazeiro do Norte","Juazeiro do Norte","Sul Cearense","Chapada do Araripe"
"2302206","PR","beberibe","https://cidades.ibge.gov.br/brasil/ce/beberibe","beberibense","54.315 pessoas","49.311 pessoas","30,37 hab/km² hab/km²","1,8 salários mínimos","4.724 pessoas","8,8 %","53,3 %","98,2 %","6,0","5,4","7.087 matrículas","2.195 matrículas","343 docentes","94 docentes","34 escolas","4 escolas","13.744,68 R$","82,1 %","0,638","119.759,00 R$ (×1000)","114.373,58 R$ (×1000)","11,4 óbitos por mil nascidos vivos","0,7 internações por mil habitantes","63 estabelecimentos","1.596,751 km²","11,6 %","84 %","0,4 %","Caatinga","Pertence","Centro Local (5)","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Fortaleza","Fortaleza","Norte Cearense","Cascavel"
"2303402","PR","carnaubal","https://cidades.ibge.gov.br/brasil/ce/carnaubal","carnaubalense","17.763 pessoas","16.746 pessoas","45,90 hab/km² hab/km²","1,6 salários mínimos","1.185 pessoas","6,7 %","54,7 %","97,1 %","6,9","5,2","2.433 matrículas","715 matrículas","149 docentes","38 docentes","15 escolas","2 escolas","6.609,89 R$","95,1 %","0,593","44.401,00 R$ (×1000)","39.292,33 R$ (×1000)","11,28 óbitos por mil nascidos vivos","0,3 internações por mil habitantes","14 estabelecimentos","363,220 km²","2,3 %","95,9 %","0 %","Caatinga","Não pertence","Centro Local (5)","São Benedito - Centro de Zona A (4A)","Sobral","São Benedito - Ipu - Guaraciaba do Norte - Tianguá","Noroeste Cearense","Ibiapaba"
"2303808","PR","cedro","https://cidades.ibge.gov.br/brasil/ce/cedro","cedrense","25.612 pessoas","24.527 pessoas","33,79 hab/km² hab/km²","1,7 salários mínimos","1.500 pessoas","5,9 %","52,6 %","97,5 %","5,7","4,7","2.926 matrículas","1.270 matrículas","155 docentes","102 docentes","20 escolas","3 escolas","7.130,37 R$","91 %","0,627","73.911,85 R$ (×1000)","51.532,52 R$ (×1000)","12,54 óbitos por mil nascidos vivos","5,8 internações por mil habitantes","26 estabelecimentos","729,970 km²","8,7 %","96,2 %","11,4 %","Caatinga","Não pertence","Centro Local (5)","Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B)","Iguatu","Iguatu","Centro-Sul Cearense","Iguatu"
"2303600","PR","catarina","https://cidades.ibge.gov.br/brasil/ce/catarina","catarinense","21.041 pessoas","18.745 pessoas","38,50 hab/km² hab/km²","1,7 salários mínimos","947 pessoas","4,6 %","57,8 %","94,3 %","6,0","4,9","1.354 matrículas","378 matrículas","77 docentes","22 docentes","14 escolas","1 escolas","5.797,02 R$","94,5 %","0,618","48.412,86 R$ (×1000)","40.082,54 R$ (×1000)","32,97 óbitos por mil nascidos vivos","0 internações por mil habitantes","10 estabelecimentos","488,153 km²","17,1 %","93,7 %","7,6 %","Caatinga","Não pertence","Centro Local (5)","Iguatu - Centro Subregional A (3A)","Iguatu","Iguatu","Sertões Cearenses","Sertão de Inhamuns"
"2304202","PR","crato","https://cidades.ibge.gov.br/brasil/ce/crato","cratense","133.913 pessoas","121.428 pessoas","103,21 hab/km² hab/km²","1,9 salários mínimos","19.976 pessoas","15,1 %","43 %","97,8 %","5,5","5,0","17.849 matrículas","5.508 matrículas","935 docentes","393 docentes","81 escolas","19 escolas","10.262,41 R$","82,4 %","0,713","263.007,66 R$ (×1000)","226.354,59 R$ (×1000)","18,08 óbitos por mil nascidos vivos","0,8 internações por mil habitantes","54 estabelecimentos","1.138,150 km²","42,2 %","58,3 %","3,5 %","Caatinga","Não pertence","Capital Regional B (2B) - Município integrante do Arranjo Populacional de Juazeiro do Norte/CE","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Juazeiro do Norte","Juazeiro do Norte","Sul Cearense","Cariri"
"2302404","PR","boa-viagem","https://cidades.ibge.gov.br/brasil/ce/boa-viagem","boa-viagense","54.680 pessoas","52.498 pessoas","18,51 hab/km² hab/km²","1,6 salários mínimos","4.115 pessoas","7,6 %","55,6 %","97,6 %","5,3","4,8","6.704 matrículas","2.168 matrículas","331 docentes","129 docentes","66 escolas","4 escolas","7.031,15 R$","86,1 %","0,598","103.721,38 R$ (×1000)","98.299,87 R$ (×1000)","17,86 óbitos por mil nascidos vivos","2 internações por mil habitantes","28 estabelecimentos","2.835,037 km²","38,6 %","89,3 %","4,1 %","Caatinga","Não pertence","Centro Local (5)","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Fortaleza","Canindé","Sertões Cearenses","Sertão de Quixeramobim"
"2303006","PR","caridade","https://cidades.ibge.gov.br/brasil/ce/caridade","caridadense","23.011 pessoas","20.020 pessoas","23,65 hab/km² hab/km²","1,8 salários mínimos","1.068 pessoas","4,7 %","55,4 %","97,3 %","5,5","4,9","2.462 matrículas","926 matrículas","137 docentes","56 docentes","21 escolas","3 escolas","5.631,24 R$","- %","0,592","42.361,99 R$ (×1000)","44.059,93 R$ (×1000)","10,83 óbitos por mil nascidos vivos","0,7 internações por mil habitantes","13 estabelecimentos","926,271 km²","10,1 %","78 %","0,8 %","Caatinga","Não pertence","Centro Local (5)","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Fortaleza","Canindé","Norte Cearense","Canindé"
"2302107","PR","baturite","https://cidades.ibge.gov.br/brasil/ce/baturite","baturiteense","36.127 pessoas","33.321 pessoas","107,98 hab/km² hab/km²","1,7 salários mínimos","3.714 pessoas","10,4 %","49,6 %","95,9 %","5,5","4,5","4.712 matrículas","1.326 matrículas","207 docentes","65 docentes","27 escolas","3 escolas","9.114,77 R$","93,3 %","0,619","74.220,67 R$ (×1000)","67.628,89 R$ (×1000)","12,89 óbitos por mil nascidos vivos","2,7 internações por mil habitantes","20 estabelecimentos","314,075 km²","44,8 %","93 %","5,1 %","Caatinga","Não pertence","Centro Subregional B (3B)","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Fortaleza","Redenção-Acarape","Norte Cearense","Baturité"
"2302701","PR","campos-sales","https://cidades.ibge.gov.br/brasil/ce/campos-sales","campos-salense","27.513 pessoas","26.506 pessoas","24,48 hab/km² hab/km²","1,4 salários mínimos","2.145 pessoas","7,8 %","52,8 %","98,3 %","6,6","5,8","3.565 matrículas","1.243 matrículas","228 docentes","65 docentes","21 escolas","2 escolas","6.896,85 R$","94,9 %","0,630","72.422,31 R$ (×1000)","64.018,71 R$ (×1000)","19,05 óbitos por mil nascidos vivos","3,5 internações por mil habitantes","19 estabelecimentos","1.082,582 km²","22,8 %","91,8 %","2,1 %","Caatinga","Não pertence","Centro Local (5)","Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B)","Juazeiro do Norte","Juazeiro do Norte","Sul Cearense","Chapada do Araripe"
"2302305","PR","bela-cruz","https://cidades.ibge.gov.br/brasil/ce/bela-cruz","bela-cruzense","32.851 pessoas","30.878 pessoas","36,63 hab/km² hab/km²","1,9 salários mínimos","1.898 pessoas","5,8 %","57,4 %","98,9 %","6,5","5,7","3.706 matrículas","1.247 matrículas","228 docentes","77 docentes","27 escolas","4 escolas","7.322,64 R$","95,8 %","0,623","54.874,52 R$ (×1000)","54.813,93 R$ (×1000)","16,39 óbitos por mil nascidos vivos","0,3 internações por mil habitantes","16 estabelecimentos","842,106 km²","19,4 %","91 %","1,3 %","Caatinga","Pertence","Centro Local (5)","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Sobral","Acaraú","Noroeste Cearense","Litoral de Camocim e Acaraú"
"2304277","PR","erere","https://cidades.ibge.gov.br/brasil/ce/erere","erereense","7.254 pessoas","6.840 pessoas","17,87 hab/km² hab/km²","1,5 salários mínimos","482 pessoas","6,7 %","53,7 %","98 %","6,3","4,8","720 matrículas","213 matrículas","50 docentes","14 docentes","6 escolas","1 escolas","6.983,79 R$","- %","0,610","20.139,95 R$ (×1000)","19.068,06 R$ (×1000)","117,65 óbitos por mil nascidos vivos","2 internações por mil habitantes","7 estabelecimentos","362,906 km²","19,2 %","87 %","47,3 %","Caatinga","Não pertence","Centro Local (5)","Pau dos Ferros - Centro Subregional B (3B)","Quixadá","Russas - Limoeiro do Norte","Jaguaribe","Serra do Pereiro"
"2303303","PR","carius","https://cidades.ibge.gov.br/brasil/ce/carius","cariuense","18.700 pessoas","18.567 pessoas","17,49 hab/km² hab/km²","1,5 salários mínimos","971 pessoas","5,2 %","55,5 %","97,1 %","5,5","5,0","1.985 matrículas","458 matrículas","113 docentes","21 docentes","8 escolas","1 escolas","7.267,16 R$","94,7 %","0,597","43.117,01 R$ (×1000)","38.533,90 R$ (×1000)","9,85 óbitos por mil nascidos vivos","2,1 internações por mil habitantes","12 estabelecimentos","1.036,417 km²","12,2 %","92,9 %","3,2 %","Caatinga","Não pertence","Centro Local (5) - Município integrante do Arranjo Populacional de Jucás - Cariús/CE","Iguatu - Centro Subregional A (3A)","Iguatu","Iguatu","Centro-Sul Cearense","Várzea Alegre"
"2303709","PR","caucaia","https://cidades.ibge.gov.br/brasil/ce/caucaia","caucaiense","368.918 pessoas","325.441 pessoas","264,91 hab/km² hab/km²","2,0 salários mínimos","43.135 pessoas","11,9 %","43,6 %","96,3 %","5,2","4,2","48.464 matrículas","11.914 matrículas","1.986 docentes","538 docentes","171 escolas","28 escolas","13.944,16 R$","78,5 %","0,682","629.854,17 R$ (×1000)","567.292,53 R$ (×1000)","12,91 óbitos por mil nascidos vivos","1,6 internações por mil habitantes","52 estabelecimentos","1.223,246 km²","56,2 %","51,6 %","5 %","Caatinga","Pertence","Metrópole (1C) - Município integrante do Arranjo Populacional de Fortaleza/CE","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Fortaleza","Fortaleza","Metropolitana de Fortaleza","Fortaleza"
"2304251","PR","cruz","https://cidades.ibge.gov.br/brasil/ce/cruz","cruzense","25.121 pessoas","22.479 pessoas","68,13 hab/km² hab/km²","1,7 salários mínimos","2.109 pessoas","8,5 %","54,9 %","98,5 %","8,3","6,9","4.164 matrículas","1.114 matrículas","264 docentes","51 docentes","26 escolas","3 escolas","8.946,00 R$","89,6 %","0,632","66.832,46 R$ (×1000)","53.862,87 R$ (×1000)","4,02 óbitos por mil nascidos vivos","0,6 internações por mil habitantes","12 estabelecimentos","335,921 km²","6,3 %","95,3 %","3,1 %","Caatinga","Pertence","Centro Local (5)","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Sobral","Acaraú","Noroeste Cearense","Litoral de Camocim e Acaraú"
"2301901","PR","barbalha","https://cidades.ibge.gov.br/brasil/ce/barbalha","barbalhense","61.662 pessoas","55.323 pessoas","97,14 hab/km² hab/km²","1,7 salários mínimos","10.752 pessoas","17,7 %","44,8 %","98,3 %","6,2","5,5","9.600 matrículas","2.706 matrículas","525 docentes","137 docentes","49 escolas","6 escolas","14.320,84 R$","92,2 %","0,683","243.774,86 R$ (×1000)","227.251,72 R$ (×1000)","15,08 óbitos por mil nascidos vivos","2 internações por mil habitantes","52 estabelecimentos","608,158 km²","17,8 %","94,7 %","8,9 %","Caatinga","Não pertence","Capital Regional B (2B) - Município integrante do Arranjo Populacional de Juazeiro do Norte/CE","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Juazeiro do Norte","Juazeiro do Norte","Sul Cearense","Cariri"
"2303501","PR","cascavel","https://cidades.ibge.gov.br/brasil/ce/cascavel","cascavelense","72.706 pessoas","66.142 pessoas","78,99 hab/km² hab/km²","1,5 salários mínimos","9.882 pessoas","13,8 %","48,1 %","96,7 %","6,7","5,4","9.575 matrículas","2.913 matrículas","366 docentes","157 docentes","48 escolas","7 escolas","10.317,32 R$","84,8 %","0,646","157.576,14 R$ (×1000)","146.954,71 R$ (×1000)","12,09 óbitos por mil nascidos vivos","0,8 internações por mil habitantes","46 estabelecimentos","838,115 km²","14,5 %","82,8 %","2,8 %","Caatinga","Pertence","Centro Local (5)","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Fortaleza","Fortaleza","Norte Cearense","Cascavel"
"2304350","PR","forquilha","https://cidades.ibge.gov.br/brasil/ce/forquilha","forquilhense","24.680 pessoas","21.786 pessoas","42,14 hab/km² hab/km²","1,3 salários mínimos","2.416 pessoas","10,0 %","45,1 %","96,4 %","7,0","5,7","2.836 matrículas","1.001 matrículas","153 docentes","45 docentes","14 escolas","2 escolas","7.698,67 R$","- %","0,644","59.852,26 R$ (×1000)","55.357,42 R$ (×1000)","12,23 óbitos por mil nascidos vivos","0,5 internações por mil habitantes","12 estabelecimentos","568,778 km²","71,9 %","97,9 %","18,1 %","Caatinga","Não pertence","Capital Regional C (2C) - Município integrante do Arranjo Populacional de Sobral/CE","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Sobral","Sobral","Noroeste Cearense","Sobral"
"2302008","PR","barro","https://cidades.ibge.gov.br/brasil/ce/barro","barrense","22.834 pessoas","21.514 pessoas","30,22 hab/km² hab/km²","1,5 salários mínimos","1.561 pessoas","6,9 %","54,5 %","97,1 %","5,6","5,4","2.595 matrículas","743 matrículas","192 docentes","44 docentes","20 escolas","3 escolas","7.674,21 R$","95,1 %","0,599","41.340,96 R$ (×1000)","39.319,66 R$ (×1000)","21,46 óbitos por mil nascidos vivos","3,1 internações por mil habitantes","14 estabelecimentos","711,346 km²","10,3 %","92 %","0,4 %","Caatinga","Não pertence","Centro Local (5)","Mauriti - Centro de Zona B (4B)","Juazeiro do Norte","Brejo Santo","Sul Cearense","Barro"
"2302909","PR","capistrano","https://cidades.ibge.gov.br/brasil/ce/capistrano","capistranense","17.830 pessoas","17.062 pessoas","76,67 hab/km² hab/km²","1,8 salários mínimos","1.088 pessoas","6,1 %","58,1 %","96,3 %","5,4","4,7","2.503 matrículas","577 matrículas","154 docentes","23 docentes","14 escolas","1 escolas","9.827,07 R$","88,3 %","0,611","44.410,43 R$ (×1000)","47.389,12 R$ (×1000)","20 óbitos por mil nascidos vivos","0,8 internações por mil habitantes","13 estabelecimentos","226,549 km²","15,6 %","59,3 %","4,3 %","Caatinga","Não pertence","Centro Local (5)","Baturité - Centro Subregional B (3B)","Fortaleza","Redenção-Acarape","Norte Cearense","Baturité"
"2301950","PR","barreira","https://cidades.ibge.gov.br/brasil/ce/barreira","barreirense","22.715 pessoas","19.573 pessoas","79,63 hab/km² hab/km²","1,8 salários mínimos","1.276 pessoas","5,7 %","52,1 %","97,8 %","6,0","4,8","3.042 matrículas","762 matrículas","153 docentes","37 docentes","11 escolas","2 escolas","6.958,94 R$","94,4 %","0,616","49.562,61 R$ (×1000)","44.585,47 R$ (×1000)","18,13 óbitos por mil nascidos vivos","0,6 internações por mil habitantes","18 estabelecimentos","260,003 km²","12,9 %","87,4 %","6,4 %","Caatinga","Não pertence","Centro Local (5)","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Fortaleza","Redenção-Acarape","Norte Cearense","Chorozinho"
"2933208","PR","vera-cruz","https://cidades.ibge.gov.br/brasil/ba/vera-cruz","vera-cruzense","44.185 pessoas","37.567 pessoas","125,33 hab/km² hab/km²","1,7 salários mínimos","4.788 pessoas","11,1 %","47,9 %","99,3 %","4,8","3,5","5.193 matrículas","1.499 matrículas","277 docentes","75 docentes","44 escolas","5 escolas","12.650,04 R$","80,6 %","0,645","93.296,98 R$ (×1000)","85.706,23 R$ (×1000)","17,04 óbitos por mil nascidos vivos","0,7 internações por mil habitantes","19 estabelecimentos","297,537 km²","24,6 %","62,3 %","3,7 %","Mata Atlântica","Pertence","Centro Local (5) - Município integrante do Arranjo Populacional de Vera Cruz - Itaparica/BA","Arranjo Populacional de Salvador/BA - Metrópole (1C)","Santo Antônio de Jesus","Nazaré ¿ Maragogipe","Metropolitana de Salvador","Salvador"
"2301109","PR","aracati","https://cidades.ibge.gov.br/brasil/ce/aracati","aracatiense","75.392 pessoas","69.159 pessoas","56,32 hab/km² hab/km²","1,6 salários mínimos","11.751 pessoas","15,8 %","48,8 %","98,5 %","6,1","5,2","10.002 matrículas","3.271 matrículas","541 docentes","161 docentes","42 escolas","8 escolas","15.210,71 R$","76,3 %","0,655","227.561,34 R$ (×1000)","185.621,26 R$ (×1000)","1,96 óbitos por mil nascidos vivos","1 internações por mil habitantes","73 estabelecimentos","1.227,197 km²","4,5 %","82,9 %","1,6 %","Caatinga","Pertence","Centro Subregional B (3B)","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Quixadá","Aracati","Jaguaribe","Litoral de Aracati"
"2304103","PR","crateus","https://cidades.ibge.gov.br/brasil/ce/crateus","crateuense","75.241 pessoas","72.812 pessoas","24,39 hab/km² hab/km²","1,8 salários mínimos","7.368 pessoas","9,8 %","50,3 %","97,5 %","6,7","5,1","9.582 matrículas","3.264 matrículas","536 docentes","198 docentes","48 escolas","9 escolas","9.105,67 R$","91,3 %","0,644","140.243,49 R$ (×1000)","139.963,52 R$ (×1000)","19,09 óbitos por mil nascidos vivos","1,8 internações por mil habitantes","34 estabelecimentos","2.981,459 km²","47,9 %","97,6 %","3,2 %","Caatinga","Não pertence","Centro Subregional B (3B)","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Crateús","Crateús","Sertões Cearenses","Sertão de Cratéus"
"2305407","PR","ico","https://cidades.ibge.gov.br/brasil/ce/ico","icoense","68.303 pessoas","65.456 pessoas","34,97 hab/km² hab/km²","1,6 salários mínimos","4.953 pessoas","7,3 %","53,1 %","96,7 %","5,0","4,2","8.375 matrículas","2.327 matrículas","522 docentes","110 docentes","65 escolas","5 escolas","8.126,78 R$","87,4 %","0,606","121.888,33 R$ (×1000)","120.450,04 R$ (×1000)","6,72 óbitos por mil nascidos vivos","1,6 internações por mil habitantes","29 estabelecimentos","1.865,862 km²","34,8 %","96,6 %","4,7 %","Caatinga","Não pertence","Centro de Zona A (4A)","Iguatu - Centro Subregional A (3A)","Iguatu","Icó","Centro-Sul Cearense","Iguatu"
"2305001","PR","guaraciaba-do-norte","https://cidades.ibge.gov.br/brasil/ce/guaraciaba-do-norte","guaraciabense","40.921 pessoas","37.775 pessoas","61,78 hab/km² hab/km²","1,7 salários mínimos","3.133 pessoas","7,7 %","52,9 %","97,7 %","6,6","5,2","6.375 matrículas","2.070 matrículas","405 docentes","108 docentes","29 escolas","4 escolas","11.978,47 R$","92,9 %","0,609","105.405,88 R$ (×1000)","90.370,31 R$ (×1000)","18,76 óbitos por mil nascidos vivos","0,4 internações por mil habitantes","20 estabelecimentos","624,606 km²","7,6 %","85,7 %","5,5 %","Caatinga","Não pertence","Centro de Zona B (4B)","Arranjo Populacional de Sobral/CE - Capital Regional C (2C)","Sobral","São Benedito - Ipu - Guaraciaba do Norte - Tianguá","Noroeste Cearense","Ibiapaba"
"2304806","PR","granjeiro","https://cidades.ibge.gov.br/brasil/ce/granjeiro","granjeirense","4.784 pessoas","4.629 pessoas","46,23 hab/km² hab/km²","1,8 salários mínimos","590 pessoas","12,2 %","54,9 %","98,8 %","6,0","5,5","774 matrículas","223 matrículas","55 docentes","15 docentes","5 escolas","1 escolas","9.503,61 R$","98,5 %","0,585","16,64 R$ (×1000)","16.804,49 R$ (×1000)","- óbitos por mil nascidos vivos","4 internações por mil habitantes","7 estabelecimentos","111,528 km²","25,3 %","95,8 %","12,4 %","Caatinga","Não pertence","Centro Local (5)","Arranjo Populacional de Juazeiro do Norte/CE - Capital Regional B (2B)","Juazeiro do Norte","Juazeiro do Norte","Sul Cearense","Caririaçu"
"2304459","PR","fortim","https://cidades.ibge.gov.br/brasil/ce/fortim","fortinense","16.776 pessoas","14.817 pessoas","53,15 hab/km² hab/km²","2,0 salários mínimos","1.545 pessoas","9,4 %","52,8 %","97,5 %","6,7","5,7","1.932 matrículas","592 matrículas","113 docentes","20 docentes","10 escolas","1 escolas","9.806,29 R$","56,8 %","0,624","46.215,47 R$ (×1000)","41.449,76 R$ (×1000)","10,15 óbitos por mil nascidos vivos","0,1 internações por mil habitantes","11 estabelecimentos","285,024 km²","2,1 %","75,1 %","0,8 %","Caatinga","Pertence","Centro Local (5)","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Quixadá","Aracati","Jaguaribe","Litoral de Aracati"
"2304269","PR","deputado-irapuan-pinheiro","https://cidades.ibge.gov.br/brasil/ce/deputado-irapuan-pinheiro","irapuense","9.698 pessoas","9.095 pessoas","19,33 hab/km² hab/km²","1,7 salários mínimos","1.042 pessoas","10,8 %","55,9 %","99,3 %","8,3","5,4","1.022 matrículas","303 matrículas","70 docentes","16 docentes","5 escolas","1 escolas","6.413,75 R$","92,7 %","0,609","28.587,71 R$ (×1000)","24.445,95 R$ (×1000)","11,49 óbitos por mil nascidos vivos","1,3 internações por mil habitantes","8 estabelecimentos","471,134 km²","2,1 %","95,5 %","0,7 %","Caatinga","Não pertence","Centro Local (5)","Acopiara - Centro de Zona B (4B)","Quixadá","Quixadá","Sertões Cearenses","Sertão de Senador Pompeu"
"2304954","PR","guaiuba","https://cidades.ibge.gov.br/brasil/ce/guaiuba","guaiubano","26.508 pessoas","24.091 pessoas","90,19 hab/km² hab/km²","1,6 salários mínimos","1.834 pessoas","7,0 %","51,5 %","94,2 %","5,6","4,6","3.343 matrículas","1.006 matrículas","160 docentes","49 docentes","17 escolas","2 escolas","7.684,11 R$","93,9 %","0,617","55.147,27 R$ (×1000)","51.599,00 R$ (×1000)","11,94 óbitos por mil nascidos vivos","0,4 internações por mil habitantes","11 estabelecimentos","256,053 km²","19 %","58,8 %","4,9 %","Caatinga","Não pertence","Centro Local (5)","Arranjo Populacional de Fortaleza/CE - Metrópole (1C)","Fortaleza","Fortaleza","Metropolitana de Fortaleza","Fortaleza"
"2305100","PR","guaramiranga","https://cidades.ibge.gov.br/brasil/ce/guaramiranga","guaramiranguense","5.073 pessoas","4.164 pessoas","70,06 hab/km² hab/km²","1,4 salários mínimos","943 pessoas","18,2 %","47,7 %","97,6 %","6,0","5,1","812 matrículas","212 matrículas","57 docentes","10 docentes","4 escolas","1 escolas","16.087,25 R$","85,2 %","0,637","32.183,19 R$ (×1000)","20.840,77 R$ (×1000)","14,93 óbitos por mil nascidos vivos","1,1 internações por mil habitantes","8 estabelecimentos","90,817 km²","72,7 %","82,3 %","6,9 %","Caatinga","Não pertence","Centro Local (5)","Baturité - Centro Subregional B (3B)","Fortaleza","Redenção-Acarape","Norte Cearense","Baturité"
